cover,title,author,publisher,isbn,timestamp,activity,library,details
https://img2.od-cdn.com/ImageType-100/5054-1/{82CDC5B0-239D-4103-84C0-DEFA9160F69F}Img100.jpg,The Drawing of the Three,Stephen King,Simon & Schuster Audio,9781508217442,"August 14, 2025 03:39",Borrowed,Washington County Cooperative Library Services
https://img1.od-cdn.com/ImageType-100/0887-1/{F71127B6-335C-4737-90DF-C829092012AA}Img100.jpg,The Great Gatsby,F. Scott Fitzgerald,Blackstone Publishing,9798200735754,"June 23, 2025 22:00",Borrowed,Washington County Cooperative Library Services
https://img3.od-cdn.com/ImageType-100/1191-1/{4A960780-60A5-4D97-8CDC-F69EB543A9C4}IMG100.JPG,Witchcraft for Wayward Girls,Grady Hendrix,Books on Tape,9780593907306,"May 27, 2025 02:22",Borrowed,Washington County Cooperative Library Services
https://img3.od-cdn.com/ImageType-100/1837-1/{B4EDD3DA-5CE2-42E8-A1DB-ED34BE137F63}IMG100.JPG,The Hunger Games,Suzanne Collins,Scholastic Inc.,"","May 22, 2025 13:34",Borrowed,Washington County Cooperative Library Services
https://img3.od-cdn.com/ImageType-100/2861-1/{8BB3D6A7-7F7C-41F2-AC6E-1FDCEFE789A7}IMG100.JPG,Adult Children of Emotionally Immature Parents,Lindsay C. Gibson,New Harbinger Publications,9781626251724,"May 07, 2025 23:23",Borrowed,Washington County Cooperative Library Services
https://img3.od-cdn.com/ImageType-100/11618-1/{3131AE87-956C-4646-9175-CB0BB61985CD}IMG100.JPG,"Teenage Mutant Ninja Turtles (2011), Volume 5","","Idea and Design Work, LLC","","April 02, 2025 22:14",Borrowed,Washington County Cooperative Library Services
https://img3.od-cdn.com/ImageType-100/1219-1/{CB4814F5-4F8A-4454-AEF8-5E896DFAD28E}IMG100.JPG,Adult Children of Emotionally Immature Parents,"Lindsay C. Gibson, PsyD","Tantor Media, Inc",9781515977025,"March 27, 2025 22:11",Borrowed,Washington County Cooperative Library Services
https://img3.od-cdn.com/ImageType-100/5054-1/{96AC2645-35D6-49E8-BECF-856758808B4D}IMG100.JPG,The Gunslinger,Stephen King,Simon & Schuster Audio,9781508217411,"March 15, 2025 14:40",Borrowed,Washington County Cooperative Library Services
https://img1.od-cdn.com/ImageType-100/1191-1/{D9B7175A-C3F7-4C94-96AF-9E9EE6FA595E}Img100.jpg,The Final Girl Support Group,Grady Hendrix,Books on Tape,9780593410035,"February 24, 2025 14:36",Borrowed,Washington County Cooperative Library Services
https://img3.od-cdn.com/ImageType-100/1493-1/{B1F96889-0794-42F4-BDA3-5917B4612EEC}IMG100.JPG,Cuckoo,Gretchen Felker-Martin,Macmillan Audio,9781250332417,"February 22, 2025 04:04",Borrowed,Washington County Cooperative Library Services
https://img2.od-cdn.com/ImageType-100/2390-1/{76093236-2519-4FD1-865F-CEB91BA75AE5}IMG100.JPG,Cuckoo,Gretchen Felker-Martin,Tor Publishing Group,9781250794673,"February 21, 2025 00:51",Borrowed,Washington County Cooperative Library Services
https://img1.od-cdn.com/ImageType-100/11618-1/{3D95EAAE-67C5-4B87-8161-DBD7BD8DABE4}IMG100.JPG,"Teenage Mutant Ninja Turtles Micro-Series (2011), Volume 1","","Idea and Design Work, LLC","","February 14, 2025 04:42",Borrowed,Washington County Cooperative Library Services, 21 days 
